"country_name","country","capital"
"Federation of Bosnia and Herzegovina","<http://dbpedia.org/resource/Federation_of_Bosnia_and_Herzegovina>","<http://dbpedia.org/resource/Sarajevo>"
"Gagauzia","<http://dbpedia.org/resource/Gagauzia>","<http://dbpedia.org/resource/Comrat>"
"Grande Comore","<http://dbpedia.org/resource/Grande_Comore>","<http://dbpedia.org/resource/Moroni,_Comoros>"
"Karakalpakstan","<http://dbpedia.org/resource/Karakalpakstan>","<http://dbpedia.org/resource/Nukus>"
"Madeira","<http://dbpedia.org/resource/Madeira>","""Funchal""@en"
"Northern Ireland","<http://dbpedia.org/resource/Northern_Ireland>","<http://dbpedia.org/resource/Belfast>"
"Northern Mariana Islands","<http://dbpedia.org/resource/Northern_Mariana_Islands>","""Capitol Hill""@en"
"Saint Pierre and Miquelon","<http://dbpedia.org/resource/Saint_Pierre_and_Miquelon>","<http://dbpedia.org/resource/Saint-Pierre,_Saint_Pierre_and_Miquelon>"
"Scotland","<http://dbpedia.org/resource/Scotland>","<http://dbpedia.org/resource/Edinburgh>"
"Sint Maarten","<http://dbpedia.org/resource/Sint_Maarten>","<http://dbpedia.org/resource/Philipsburg,_Sint_Maarten>"
"South Georgia and the South Sandwich Islands","<http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands>","<http://dbpedia.org/resource/King_Edward_Point>"
"Transnistria","<http://dbpedia.org/resource/Transnistria>","20"
"Tristan da Cunha","<http://dbpedia.org/resource/Tristan_da_Cunha>","<http://dbpedia.org/resource/Edinburgh_of_the_Seven_Seas>"
"Wales","<http://dbpedia.org/resource/Wales>","""Cardiff""@en"
"Provisional Administrative Entity of South Ossetia","<http://dbpedia.org/resource/Provisional_Administrative_Entity_of_South_Ossetia>","""Kurta""@en"
"Saint BarthAClemy","<http://dbpedia.org/resource/Saint_Barth%C3%A9lemy>","<http://dbpedia.org/resource/Gustavia,_Saint_Barth%C3%A9lemy>"
"Kurdistan Regional Government","<http://dbpedia.org/resource/Kurdistan_Regional_Government>","<http://dbpedia.org/resource/Erbil>"
"Iraqi Kurdistan","<http://dbpedia.org/resource/Iraqi_Kurdistan>","<http://dbpedia.org/resource/Erbil>"
"Afghanistan","<http://dbpedia.org/resource/Afghanistan>","<http://dbpedia.org/resource/Kabul>"
"Albania","<http://dbpedia.org/resource/Albania>","<http://dbpedia.org/resource/Tirana>"
"Algeria","<http://dbpedia.org/resource/Algeria>","<http://dbpedia.org/resource/Algiers>"
"Andorra","<http://dbpedia.org/resource/Andorra>","<http://dbpedia.org/resource/Andorra_la_Vella>"
"Angola","<http://dbpedia.org/resource/Angola>","<http://dbpedia.org/resource/Luanda>"
"Anguilla","<http://dbpedia.org/resource/Anguilla>","<http://dbpedia.org/resource/The_Valley,_Anguilla>"
"Argentina","<http://dbpedia.org/resource/Argentina>","<http://dbpedia.org/resource/Buenos_Aires>"
"Aruba","<http://dbpedia.org/resource/Aruba>","<http://dbpedia.org/resource/Oranjestad,_Aruba>"
"Australia","<http://dbpedia.org/resource/Australia>","<http://dbpedia.org/resource/Canberra>"
"Bahrain","<http://dbpedia.org/resource/Bahrain>","<http://dbpedia.org/resource/Manama>"
"Bangladesh","<http://dbpedia.org/resource/Bangladesh>","<http://dbpedia.org/resource/Dhaka>"
"Barbados","<http://dbpedia.org/resource/Barbados>","<http://dbpedia.org/resource/Bridgetown>"
"Belgium","<http://dbpedia.org/resource/Belgium>","""b""@en"
"Belize","<http://dbpedia.org/resource/Belize>","<http://dbpedia.org/resource/Belmopan>"
"Benin","<http://dbpedia.org/resource/Benin>","""Porto-Novoa""@en"
"Bermuda","<http://dbpedia.org/resource/Bermuda>","<http://dbpedia.org/resource/Hamilton,_Bermuda>"
"Bhutan","<http://dbpedia.org/resource/Bhutan>","<http://dbpedia.org/resource/Thimphu>"
"Bolivia","<http://dbpedia.org/resource/Bolivia>","""Sucre""@en"
"Botswana","<http://dbpedia.org/resource/Botswana>","<http://dbpedia.org/resource/Gaborone>"
"Brazil","<http://dbpedia.org/resource/Brazil>","20"
"British Virgin Islands","<http://dbpedia.org/resource/British_Virgin_Islands>","<http://dbpedia.org/resource/Road_Town>"
"Brunei","<http://dbpedia.org/resource/Brunei>","<http://dbpedia.org/resource/Bandar_Seri_Begawan>"
"Burkina Faso","<http://dbpedia.org/resource/Burkina_Faso>","<http://dbpedia.org/resource/Ouagadougou>"
"Burundi","<http://dbpedia.org/resource/Burundi>","<http://dbpedia.org/resource/Bujumbura>"
"Cambodia","<http://dbpedia.org/resource/Cambodia>","<http://dbpedia.org/resource/Phnom_Penh>"
"Cameroon","<http://dbpedia.org/resource/Cameroon>","<http://dbpedia.org/resource/Yaound%C3%A9>"
"Canada","<http://dbpedia.org/resource/Canada>","<http://dbpedia.org/resource/Ottawa>"
"Cape Verde","<http://dbpedia.org/resource/Cape_Verde>","<http://dbpedia.org/resource/Praia>"
"Cayman Islands","<http://dbpedia.org/resource/Cayman_Islands>","<http://dbpedia.org/resource/George_Town,_Cayman_Islands>"
"Central African Republic","<http://dbpedia.org/resource/Central_African_Republic>","<http://dbpedia.org/resource/Bangui>"
"Chad","<http://dbpedia.org/resource/Chad>","<http://dbpedia.org/resource/N'Djamena>"
"Chile","<http://dbpedia.org/resource/Chile>","""Santiagoa""@en"
"Christmas Island","<http://dbpedia.org/resource/Christmas_Island>","<http://dbpedia.org/resource/Flying_Fish_Cove>"
"Colombia","<http://dbpedia.org/resource/Colombia>","18"
"Comoros","<http://dbpedia.org/resource/Comoros>","<http://dbpedia.org/resource/Moroni,_Comoros>"
"Cook Islands","<http://dbpedia.org/resource/Cook_Islands>","<http://dbpedia.org/resource/Avarua>"
"Cuba","<http://dbpedia.org/resource/Cuba>","<http://dbpedia.org/resource/Havana>"
"Cyprus","<http://dbpedia.org/resource/Cyprus>","<http://dbpedia.org/resource/Nicosia>"
"Djibouti","<http://dbpedia.org/resource/Djibouti>","<http://dbpedia.org/resource/Djibouti_(city)>"
"Dominica","<http://dbpedia.org/resource/Dominica>","<http://dbpedia.org/resource/Roseau>"
"Dominican Republic","<http://dbpedia.org/resource/Dominican_Republic>","<http://dbpedia.org/resource/Santo_Domingo>"
"East Timor","<http://dbpedia.org/resource/East_Timor>","<http://dbpedia.org/resource/Dili>"
"Ecuador","<http://dbpedia.org/resource/Ecuador>","<http://dbpedia.org/resource/Quito>"
"Egypt","<http://dbpedia.org/resource/Egypt>","<http://dbpedia.org/resource/Cairo>"
"El Salvador","<http://dbpedia.org/resource/El_Salvador>","<http://dbpedia.org/resource/San_Salvador>"
"Equatorial Guinea","<http://dbpedia.org/resource/Equatorial_Guinea>","""Malabob""@en"
"Eritrea","<http://dbpedia.org/resource/Eritrea>","<http://dbpedia.org/resource/Asmara>"
"Ethiopia","<http://dbpedia.org/resource/Ethiopia>","<http://dbpedia.org/resource/Addis_Ababa>"
"Fiji","<http://dbpedia.org/resource/Fiji>","<http://dbpedia.org/resource/Suva>"
"French Polynesia","<http://dbpedia.org/resource/French_Polynesia>","<http://dbpedia.org/resource/Papeete>"
"Gabon","<http://dbpedia.org/resource/Gabon>","<http://dbpedia.org/resource/Libreville>"
"Germany","<http://dbpedia.org/resource/Germany>","<http://dbpedia.org/resource/Berlin>"
"Ghana","<http://dbpedia.org/resource/Ghana>","25"
"Gibraltar","<http://dbpedia.org/resource/Gibraltar>","""Gibraltar""@en"
"Greece","<http://dbpedia.org/resource/Greece>","<http://dbpedia.org/resource/Athens>"
"Grenada","<http://dbpedia.org/resource/Grenada>","<http://dbpedia.org/resource/St._George's,_Grenada>"
"Guam","<http://dbpedia.org/resource/Guam>","<http://dbpedia.org/resource/Hag%C3%A5t%C3%B1a,_Guam>"
"Guatemala","<http://dbpedia.org/resource/Guatemala>","<http://dbpedia.org/resource/Guatemala_City>"
"Guinea","<http://dbpedia.org/resource/Guinea>","<http://dbpedia.org/resource/Conakry>"
"GuineaBissau","<http://dbpedia.org/resource/Guinea-Bissau>","<http://dbpedia.org/resource/Bissau>"
"Guyana","<http://dbpedia.org/resource/Guyana>","<http://dbpedia.org/resource/Georgetown,_Guyana>"
"Haiti","<http://dbpedia.org/resource/Haiti>","<http://dbpedia.org/resource/Port-au-Prince>"
"Honduras","<http://dbpedia.org/resource/Honduras>","<http://dbpedia.org/resource/Tegucigalpa>"
"Iceland","<http://dbpedia.org/resource/Iceland>","<http://dbpedia.org/resource/Reykjav%C3%ADk>"
"India","<http://dbpedia.org/resource/India>","<http://dbpedia.org/resource/New_Delhi>"
"Iran","<http://dbpedia.org/resource/Iran>","<http://dbpedia.org/resource/Tehran>"
"Iraq","<http://dbpedia.org/resource/Iraq>","<http://dbpedia.org/resource/Baghdad>"
"Isle of Man","<http://dbpedia.org/resource/Isle_of_Man>","""Douglas""@en"
"Israel","<http://dbpedia.org/resource/Israel>","""Jerusalem""@en"
"Jamaica","<http://dbpedia.org/resource/Jamaica>","<http://dbpedia.org/resource/Kingston,_Jamaica>"
"Japan","<http://dbpedia.org/resource/Japan>","<http://dbpedia.org/resource/Tokyo>"
"Jersey","<http://dbpedia.org/resource/Jersey>","<http://dbpedia.org/resource/Saint_Helier>"
"Jordan","<http://dbpedia.org/resource/Jordan>","<http://dbpedia.org/resource/Amman>"
"Kazakhstan","<http://dbpedia.org/resource/Kazakhstan>","20"
"Kenya","<http://dbpedia.org/resource/Kenya>","<http://dbpedia.org/resource/Nairobi>"
"Kiribati","<http://dbpedia.org/resource/Kiribati>","<http://dbpedia.org/resource/South_Tarawa>"
"Kuwait","<http://dbpedia.org/resource/Kuwait>","<http://dbpedia.org/resource/Kuwait_City>"
"Kyrgyzstan","<http://dbpedia.org/resource/Kyrgyzstan>","<http://dbpedia.org/resource/Bishkek>"
"Laos","<http://dbpedia.org/resource/Laos>","<http://dbpedia.org/resource/Vientiane>"
"Lebanon","<http://dbpedia.org/resource/Lebanon>","<http://dbpedia.org/resource/Beirut>"
"Lesotho","<http://dbpedia.org/resource/Lesotho>","<http://dbpedia.org/resource/Maseru>"
"Liberia","<http://dbpedia.org/resource/Liberia>","<http://dbpedia.org/resource/Monrovia>"
"Libya","<http://dbpedia.org/resource/Libya>","<http://dbpedia.org/resource/Tripoli>"
"Luxembourg","<http://dbpedia.org/resource/Luxembourg>","<http://dbpedia.org/resource/Luxembourg_(city)>"
"Madagascar","<http://dbpedia.org/resource/Madagascar>","<http://dbpedia.org/resource/Antananarivo>"
"Malawi","<http://dbpedia.org/resource/Malawi>","<http://dbpedia.org/resource/Lilongwe>"
"Malaysia","<http://dbpedia.org/resource/Malaysia>","<http://dbpedia.org/resource/Kuala_Lumpur>"
"Maldives","<http://dbpedia.org/resource/Maldives>","<http://dbpedia.org/resource/Mal%C3%A9>"
"Mali","<http://dbpedia.org/resource/Mali>","<http://dbpedia.org/resource/Bamako>"
"Marshall Islands","<http://dbpedia.org/resource/Marshall_Islands>","<http://dbpedia.org/resource/Majuro>"
"Mauritania","<http://dbpedia.org/resource/Mauritania>","<http://dbpedia.org/resource/Nouakchott>"
"Mauritius","<http://dbpedia.org/resource/Mauritius>","30"
"Mexico","<http://dbpedia.org/resource/Mexico>","<http://dbpedia.org/resource/Mexico_City>"
"Moldova","<http://dbpedia.org/resource/Moldova>","16"
"Monaco","<http://dbpedia.org/resource/Monaco>","""Monaco""@en"
"Mongolia","<http://dbpedia.org/resource/Mongolia>","<http://dbpedia.org/resource/Ulan_Bator>"
"Montenegro","<http://dbpedia.org/resource/Montenegro>","25"
"Montserrat","<http://dbpedia.org/resource/Montserrat>","""Brades Little Bay""@en"
"Morocco","<http://dbpedia.org/resource/Morocco>","<http://dbpedia.org/resource/Rabat>"
"Mozambique","<http://dbpedia.org/resource/Mozambique>","<http://dbpedia.org/resource/Maputo>"
"Namibia","<http://dbpedia.org/resource/Namibia>","<http://dbpedia.org/resource/Windhoek>"
"Nauru","<http://dbpedia.org/resource/Nauru>","""Yaren""@en"
"Netherlands","<http://dbpedia.org/resource/Netherlands>","""Amsterdam""@en"
"New Caledonia","<http://dbpedia.org/resource/New_Caledonia>","<http://dbpedia.org/resource/Noum%C3%A9a>"
"New Zealand","<http://dbpedia.org/resource/New_Zealand>","<http://dbpedia.org/resource/Wellington>"
"Nicaragua","<http://dbpedia.org/resource/Nicaragua>","""Managua""@en"
"Niger","<http://dbpedia.org/resource/Niger>","<http://dbpedia.org/resource/Niamey>"
"Nigeria","<http://dbpedia.org/resource/Nigeria>","<http://dbpedia.org/resource/Abuja>"
"Niue","<http://dbpedia.org/resource/Niue>","<http://dbpedia.org/resource/Alofi,_Niue>"
"Norfolk Island","<http://dbpedia.org/resource/Norfolk_Island>","<http://dbpedia.org/resource/Kingston,_Norfolk_Island>"
"North Korea","<http://dbpedia.org/resource/North_Korea>","<http://dbpedia.org/resource/Pyongyang>"
"Oman","<http://dbpedia.org/resource/Oman>","<http://dbpedia.org/resource/Muscat,_Oman>"
"Pakistan","<http://dbpedia.org/resource/Pakistan>","<http://dbpedia.org/resource/Islamabad>"
"Palau","<http://dbpedia.org/resource/Palau>","""Ngerulmud, Melekeok Statea""@en"
"Panama","<http://dbpedia.org/resource/Panama>","<http://dbpedia.org/resource/Panama_City>"
"Papua New Guinea","<http://dbpedia.org/resource/Papua_New_Guinea>","<http://dbpedia.org/resource/Port_Moresby>"
"Paraguay","<http://dbpedia.org/resource/Paraguay>","<http://dbpedia.org/resource/Asunci%C3%B3n>"
"Peru","<http://dbpedia.org/resource/Peru>","<http://dbpedia.org/resource/Lima>"
"Philippines","<http://dbpedia.org/resource/Philippines>","21"
"Pitcairn Islands","<http://dbpedia.org/resource/Pitcairn_Islands>","<http://dbpedia.org/resource/Adamstown,_Pitcairn_Islands>"
"Puerto Rico","<http://dbpedia.org/resource/Puerto_Rico>","<http://dbpedia.org/resource/San_Juan,_Puerto_Rico>"
"Qatar","<http://dbpedia.org/resource/Qatar>","<http://dbpedia.org/resource/Doha>"
"Rwanda","<http://dbpedia.org/resource/Rwanda>","<http://dbpedia.org/resource/Kigali>"
"Saint Helena","<http://dbpedia.org/resource/Saint_Helena>","<http://dbpedia.org/resource/Jamestown,_Saint_Helena>"
"Saint Kitts and Nevis","<http://dbpedia.org/resource/Saint_Kitts_and_Nevis>","<http://dbpedia.org/resource/Basseterre>"
"Saint Lucia","<http://dbpedia.org/resource/Saint_Lucia>","<http://dbpedia.org/resource/Castries>"
"Saint Vincent and the Grenadines","<http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines>","<http://dbpedia.org/resource/Kingstown>"
"Samoa","<http://dbpedia.org/resource/Samoa>","<http://dbpedia.org/resource/Apia>"
"San Marino","<http://dbpedia.org/resource/San_Marino>","<http://dbpedia.org/resource/City_of_San_Marino>"
"Saudi Arabia","<http://dbpedia.org/resource/Saudi_Arabia>","<http://dbpedia.org/resource/Riyadh>"
"Senegal","<http://dbpedia.org/resource/Senegal>","<http://dbpedia.org/resource/Dakar>"
"Seychelles","<http://dbpedia.org/resource/Seychelles>","<http://dbpedia.org/resource/Victoria,_Seychelles>"
"Sierra Leone","<http://dbpedia.org/resource/Sierra_Leone>","<http://dbpedia.org/resource/Freetown>"
"Singapore","<http://dbpedia.org/resource/Singapore>","""Singapore""@en"
"Solomon Islands","<http://dbpedia.org/resource/Solomon_Islands>","<http://dbpedia.org/resource/Honiara>"
"South Africa","<http://dbpedia.org/resource/South_Africa>","""Pretoria  Bloemfontein  Cape Town""@en"
"South Korea","<http://dbpedia.org/resource/South_Korea>","<http://dbpedia.org/resource/Seoul>"
"Suriname","<http://dbpedia.org/resource/Suriname>","<http://dbpedia.org/resource/Paramaribo>"
"Svalbard","<http://dbpedia.org/resource/Svalbard>","<http://dbpedia.org/resource/Longyearbyen>"
"Switzerland","<http://dbpedia.org/resource/Switzerland>","""None""@en"
"Syria","<http://dbpedia.org/resource/Syria>","<http://dbpedia.org/resource/Damascus>"
"Tajikistan","<http://dbpedia.org/resource/Tajikistan>","25"
"Tanzania","<http://dbpedia.org/resource/Tanzania>","<http://dbpedia.org/resource/Dodoma>"
"Thailand","<http://dbpedia.org/resource/Thailand>","<http://dbpedia.org/resource/Bangkok>"
"Togo","<http://dbpedia.org/resource/Togo>","<http://dbpedia.org/resource/Lom%C3%A9>"
"Tokelau","<http://dbpedia.org/resource/Tokelau>","""Atafu  a""@en"
"Tonga","<http://dbpedia.org/resource/Tonga>","<http://dbpedia.org/resource/Nuku%CA%BBalofa>"
"Tunisia","<http://dbpedia.org/resource/Tunisia>","<http://dbpedia.org/resource/Tunis>"
"Turkey","<http://dbpedia.org/resource/Turkey>","<http://dbpedia.org/resource/Ankara>"
"Turkmenistan","<http://dbpedia.org/resource/Turkmenistan>","<http://dbpedia.org/resource/Ashgabat>"
"Turks and Caicos Islands","<http://dbpedia.org/resource/Turks_and_Caicos_Islands>","<http://dbpedia.org/resource/Cockburn_Town>"
"Tuvalu","<http://dbpedia.org/resource/Tuvalu>","<http://dbpedia.org/resource/Funafuti>"
"United Arab Emirates","<http://dbpedia.org/resource/United_Arab_Emirates>","<http://dbpedia.org/resource/Abu_Dhabi>"
"United Kingdom","<http://dbpedia.org/resource/United_Kingdom>","<http://dbpedia.org/resource/London>"
"United States","<http://dbpedia.org/resource/United_States>","<http://dbpedia.org/resource/Washington,_D.C.>"
"Uruguay","<http://dbpedia.org/resource/Uruguay>","<http://dbpedia.org/resource/Montevideo>"
"Uzbekistan","<http://dbpedia.org/resource/Uzbekistan>","<http://dbpedia.org/resource/Tashkent>"
"Vanuatu","<http://dbpedia.org/resource/Vanuatu>","<http://dbpedia.org/resource/Port_Vila>"
"Venezuela","<http://dbpedia.org/resource/Venezuela>","<http://dbpedia.org/resource/Caracas>"
"Vietnam","<http://dbpedia.org/resource/Vietnam>","<http://dbpedia.org/resource/Hanoi>"
"Wallis and Futuna","<http://dbpedia.org/resource/Wallis_and_Futuna>","<http://dbpedia.org/resource/Mata-Utu>"
"Yemen","<http://dbpedia.org/resource/Yemen>","<http://dbpedia.org/resource/Sana'a>"
"Zambia","<http://dbpedia.org/resource/Zambia>","<http://dbpedia.org/resource/Lusaka>"
"Zimbabwe","<http://dbpedia.org/resource/Zimbabwe>","<http://dbpedia.org/resource/Harare>"
"Northern Cyprus","<http://dbpedia.org/resource/Northern_Cyprus>","<http://dbpedia.org/resource/North_Nicosia>"
"Saint Helena Ascension and Tristan da Cunha","<http://dbpedia.org/resource/Saint_Helena,_Ascension_and_Tristan_da_Cunha>","<http://dbpedia.org/resource/Jamestown,_Saint_Helena>"
"Schaesberg","<http://dbpedia.org/resource/Schaesberg>","""Schaesberg""@en"
"NagornoKarabakh Republic","<http://dbpedia.org/resource/Nagorno-Karabakh_Republic>","<http://dbpedia.org/resource/Stepanakert>"
"American Samoa","<http://dbpedia.org/resource/American_Samoa>","""Fagatogo""@en"
"American Samoa","<http://dbpedia.org/resource/American_Samoa>","<http://dbpedia.org/resource/Pago_Pago>"
"Kingdom of the Netherlands","<http://dbpedia.org/resource/Kingdom_of_the_Netherlands>","""Amsterdamref|The Hague is the seat of the government of the Netherlands; Oranjestad is the capital of Aruba; Willemstad is the capital of Curaçao; and Philipsburg is the capital of Sint Maarten.|group=""note""""@en"
"Puntland","<http://dbpedia.org/resource/Puntland>","<http://dbpedia.org/resource/Garoowe>"
"State of Palestine","<http://dbpedia.org/resource/State_of_Palestine>","""Jerusalem Ramallah""@en"
"British Antarctic Territory","<http://dbpedia.org/resource/British_Antarctic_Territory>","<http://dbpedia.org/resource/London>"
"British Antarctic Territory","<http://dbpedia.org/resource/British_Antarctic_Territory>","<http://dbpedia.org/resource/Rothera_Research_Station>"
"Collectivity of Saint Martin","<http://dbpedia.org/resource/Collectivity_of_Saint_Martin>","<http://dbpedia.org/resource/Marigot,_Saint_Martin>"
"Jubaland","<http://dbpedia.org/resource/Jubaland>","<http://dbpedia.org/resource/Bu'ale>"
"Sahrawi Arab Democratic Republic","<http://dbpedia.org/resource/Sahrawi_Arab_Democratic_Republic>","""El Aaiúna""@en"
"Republic of Ireland","<http://dbpedia.org/resource/Republic_of_Ireland>","<http://dbpedia.org/resource/Dublin>"
"Australian Antarctic Territory","<http://dbpedia.org/resource/Australian_Antarctic_Territory>","""n/a""@en"
"Government of the Autonomous Republic of Abkhazia","<http://dbpedia.org/resource/Government_of_the_Autonomous_Republic_of_Abkhazia>","""----
  Sokhumi 
  Tbilisi 
  Chkhalta 
  Tbilisi""@en"
"Province of New Jersey","<http://dbpedia.org/resource/Province_of_New_Jersey>","""Perth Amboy and Burlington""@en"
"Province of New Jersey","<http://dbpedia.org/resource/Province_of_New_Jersey>","<http://dbpedia.org/resource/Elizabeth,_New_Jersey>"
"Portuguese Empire","<http://dbpedia.org/resource/Portuguese_Empire>","""Lisbon ""@en"
"Alderney","<http://dbpedia.org/resource/Alderney>","<http://dbpedia.org/resource/Saint_Anne,_Alderney>"
"Aland Islands","<http://dbpedia.org/resource/%C3%85land_Islands>","<http://dbpedia.org/resource/Mariehamn>"
"South Ossetia","<http://dbpedia.org/resource/South_Ossetia>","<http://dbpedia.org/resource/Tskhinvali>"
"Galmudug","<http://dbpedia.org/resource/Galmudug>","""South Galkayo""@en"
"CEN 1789","<http://dbpedia.org/resource/CEN_1789>","""Brussels, Belgium""@en"
"Virgle","<http://dbpedia.org/resource/Virgle>","""Virgle City""@en"
